
Giu | GTYPE:gaz_month | G_LEMMA:June | SURFACE:Giu | G_NUM_BASE:06 | G_LANG:IT
Nov | GTYPE:gaz_month | G_LEMMA:November | SURFACE:Nov | G_NUM_BASE:11 | G_LANG:IT
Mag | GTYPE:gaz_month | G_LEMMA:May | SURFACE:Mag | G_NUM_BASE:05 | G_LANG:IT
Set | GTYPE:gaz_month | G_LEMMA:September | SURFACE:Set | G_NUM_BASE:09 | G_LANG:IT
Gen | GTYPE:gaz_month | G_LEMMA:January | SURFACE:Gen | G_NUM_BASE:01 | G_LANG:IT

Dec | GTYPE:gaz_month | G_LEMMA:December | SURFACE:Dic | G_NUM_BASE:12 | G_LANG:FR
Déc | GTYPE:gaz_month | G_LEMMA:December | SURFACE:Déc | G_NUM_BASE:12 | G_LANG:FR
Oct | GTYPE:gaz_month | G_LEMMA:October | SURFACE:Oct | G_NUM_BASE:10 | G_LANG:FR
Fev | GTYPE:gaz_month | G_LEMMA:February | SURFACE:Fev | G_NUM_BASE:02 | G_LANG:FR
Fév | GTYPE:gaz_month | G_LEMMA:February | SURFACE:Fév | G_NUM_BASE:02 | G_LANG:FR
Mar | GTYPE:gaz_month | G_LEMMA:March | SURFACE:Mar | G_NUM_BASE:03 | G_LANG:FR
Avr | GTYPE:gaz_month | G_LEMMA:April | SURFACE:Avr | G_NUM_BASE:04 | G_LANG:FR
Aout | GTYPE:gaz_month | G_LEMMA:August | SURFACE:Aout | G_NUM_BASE:08 | G_LANG:FR
Août | GTYPE:gaz_month | G_LEMMA:August | SURFACE:Août | G_NUM_BASE:08 | G_LANG:FR
Juil | GTYPE:gaz_month | G_LEMMA:July | SURFACE:Juil | G_NUM_BASE:07 | G_LANG:FR
Juin | GTYPE:gaz_month | G_LEMMA:June | SURFACE:Juin | G_NUM_BASE:06 | G_LANG:FR
Nov | GTYPE:gaz_month | G_LEMMA:November | SURFACE:Nov | G_NUM_BASE:11 | G_LANG:FR
Mai | GTYPE:gaz_month | G_LEMMA:May | SURFACE:Mai | G_NUM_BASE:05 | G_LANG:FR
Sept | GTYPE:gaz_month | G_LEMMA:September | SURFACE:Sept | G_NUM_BASE:09 | G_LANG:FR
Jan | GTYPE:gaz_month | G_LEMMA:January | SURFACE:Jan | G_NUM_BASE:01 | G_LANG:FR

Ene | GTYPE:gaz_month | G_LEMMA:Enero | SURFACE:Ene | G_NUM_BASE:01 | G_LANG:ES
Feb | GTYPE:gaz_month | G_LEMMA:Febrero | SURFACE:Feb | G_NUM_BASE:02 | G_LANG:ES
Mar | GTYPE:gaz_month | G_LEMMA:Marzo | SURFACE:Mar | G_NUM_BASE:03 | G_LANG:ES
Abr | GTYPE:gaz_month | G_LEMMA:Abril | SURFACE:Abr | G_NUM_BASE:04 | G_LANG:ES
May | GTYPE:gaz_month | G_LEMMA:Mayo | SURFACE:May | G_NUM_BASE:05 | G_LANG:ES
Jun | GTYPE:gaz_month | G_LEMMA:Junio | SURFACE:Jun | G_NUM_BASE:06 | G_LANG:ES
Jul | GTYPE:gaz_month | G_LEMMA:Julio | SURFACE:Jul | G_NUM_BASE:07 | G_LANG:ES
Ago | GTYPE:gaz_month | G_LEMMA:Agosto | SURFACE:Ago | G_NUM_BASE:08 | G_LANG:ES
Sep | GTYPE:gaz_month | G_LEMMA:Septiempre | SURFACE:Sep | G_NUM_BASE:09 | G_LANG:ES
Oct | GTYPE:gaz_month | G_LEMMA:Octubre | SURFACE:Oct | G_NUM_BASE:10 | G_LANG:ES
Nov | GTYPE:gaz_month | G_LEMMA:Noviembre | SURFACE:Nov | G_NUM_BASE:11 | G_LANG:ES
Dic | GTYPE:gaz_month | G_LEMMA:Diciembre | SURFACE:Dic | G_NUM_BASE:12 | G_LANG:ES

Ene. | GTYPE:gaz_month | G_LEMMA:Enero | SURFACE:Ene. | G_NUM_BASE:01 | G_LANG:ES
Feb. | GTYPE:gaz_month | G_LEMMA:Febrero | SURFACE:Feb. | G_NUM_BASE:02 | G_LANG:ES
Mar. | GTYPE:gaz_month | G_LEMMA:Marzo | SURFACE:Mar. | G_NUM_BASE:03 | G_LANG:ES
Abr. | GTYPE:gaz_month | G_LEMMA:Abril | SURFACE:Abr. | G_NUM_BASE:04 | G_LANG:ES
May. | GTYPE:gaz_month | G_LEMMA:Mayo | SURFACE:May. | G_NUM_BASE:05 | G_LANG:ES
Jun. | GTYPE:gaz_month | G_LEMMA:Junio | SURFACE:Jun. | G_NUM_BASE:06 | G_LANG:ES
Jul. | GTYPE:gaz_month | G_LEMMA:Julio | SURFACE:Jul. | G_NUM_BASE:07 | G_LANG:ES
